[2021-07-10 16:54:44,756][MainThread:22728][task_id:interface_case][common_method.py:129][DEBUG][----------------------当前接口测试失败----------------]
[2021-07-10 16:54:44,756][MainThread:22728][task_id:interface_case][common_method.py:130][DEBUG][失败接口返回的报文---》]
[2021-07-10 16:54:44,757][MainThread:22728][task_id:interface_case][common_method.py:131][DEBUG][{"errorCode":"100001","errorMsg":"senders 发送人员不能为空","success":false}]
[2021-07-10 16:54:44,758][MainThread:22728][task_id:interface_case][common_method.py:132][DEBUG][]
[2021-07-10 16:54:44,769][MainThread:22728][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:54:44,769][MainThread:22728][task_id:interface_case][test_renovation.py:208][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:54:44,770][MainThread:22728][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:54:44,850][MainThread:22728][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/renovation/operation/operate HTTP/1.1" 200 None]
[2021-07-10 16:54:44,852][MainThread:22728][task_id:interface_case][common_method.py:129][DEBUG][----------------------当前接口测试失败----------------]
[2021-07-10 16:54:44,854][MainThread:22728][task_id:interface_case][common_method.py:130][DEBUG][失败接口返回的报文---》]
[2021-07-10 16:54:44,855][MainThread:22728][task_id:interface_case][common_method.py:131][DEBUG][{"errorCode":"100001","errorMsg":"senders 发送人员不能为空","success":false}]
[2021-07-10 16:54:44,856][MainThread:22728][task_id:interface_case][common_method.py:132][DEBUG][]
[2021-07-10 16:54:44,882][MainThread:22728][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
[2021-07-10 16:54:44,883][MainThread:22728][task_id:interface_case][test_renovation.py:208][INFO][>>>>根据id去进行专项整治流转]
[2021-07-10 16:54:44,884][MainThread:22728][task_id:urllib3.connectionpool][connectionpool.py:227][DEBUG][Starting new HTTP connection (1): 10.111.32.82:10219]
[2021-07-10 16:54:44,963][MainThread:22728][task_id:urllib3.connectionpool][connectionpool.py:452][DEBUG][http://10.111.32.82:10219 "POST /whale-openapi/renovation/operation/operate HTTP/1.1" 200 None]
[2021-07-10 16:54:44,965][MainThread:22728][task_id:interface_case][common_method.py:129][DEBUG][----------------------当前接口测试失败----------------]
[2021-07-10 16:54:44,965][MainThread:22728][task_id:interface_case][common_method.py:130][DEBUG][失败接口返回的报文---》]
[2021-07-10 16:54:44,966][MainThread:22728][task_id:interface_case][common_method.py:131][DEBUG][{"errorCode":"100001","errorMsg":"senders 发送人员不能为空","success":false}]
[2021-07-10 16:54:44,966][MainThread:22728][task_id:interface_case][common_method.py:132][DEBUG][]
[2021-07-10 16:54:44,977][MainThread:22728][task_id:interface_case][test_renovation.py:200][INFO][>>>>>添加事件流转流程接口测试开始]
